Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","2","Afghanistan","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","26","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","48","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","9","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","1679","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","356","S","Données standardisées"
"FBS","Bilans Alimentaires","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","151","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","3","Albanie","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","17","S","Données standardisées"
"FBS","Bilans Alimentaires","3","Albanie","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","25","S","Données standardisées"
"FBS","Bilans Alimentaires","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","67","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","4","Algérie","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","288","S","Données standardisées"
"FBS","Bilans Alimentaires","4","Algérie","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","3","S","Données standardisées"
"FBS","Bilans Alimentaires","4","Algérie","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","26","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","79","Allemagne","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","1457","S","Données standardisées"
"FBS","Bilans Alimentaires","79","Allemagne","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","788","S","Données standardisées"
"FBS","Bilans Alimentaires","79","Allemagne","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","65","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","7","Angola","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","30","S","Données standardisées"
"FBS","Bilans Alimentaires","7","Angola","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","342","S","Données standardisées"
"FBS","Bilans Alimentaires","7","Angola","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","58","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","8","Antigua-et-Barbuda","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","8","Antigua-et-Barbuda","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","6","S","Données standardisées"
"FBS","Bilans Alimentaires","8","Antigua-et-Barbuda","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","251","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","569","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","879","S","Données standardisées"
"FBS","Bilans Alimentaires","194","Arabie saoudite","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","173","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","9","Argentine","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","1967","S","Données standardisées"
"FBS","Bilans Alimentaires","9","Argentine","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","4","S","Données standardisées"
"FBS","Bilans Alimentaires","9","Argentine","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","166","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","1","Arménie","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","8","S","Données standardisées"
"FBS","Bilans Alimentaires","1","Arménie","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","32","S","Données standardisées"
"FBS","Bilans Alimentaires","1","Arménie","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","45","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","10","Australie","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","1098","S","Données standardisées"
"FBS","Bilans Alimentaires","10","Australie","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","17","S","Données standardisées"
"FBS","Bilans Alimentaires","10","Australie","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","186","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","11","Autriche","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","131","S","Données standardisées"
"FBS","Bilans Alimentaires","11","Autriche","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","105","S","Données standardisées"
"FBS","Bilans Alimentaires","11","Autriche","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","66","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","52","Azerbaïdjan","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","94","S","Données standardisées"
"FBS","Bilans Alimentaires","52","Azerbaïdjan","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","5","S","Données standardisées"
"FBS","Bilans Alimentaires","52","Azerbaïdjan","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","35","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","12","Bahamas","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","7","S","Données standardisées"
"FBS","Bilans Alimentaires","12","Bahamas","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","19","S","Données standardisées"
"FBS","Bilans Alimentaires","12","Bahamas","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","186","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","16","Bangladesh","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","220","S","Données standardisées"
"FBS","Bilans Alimentaires","16","Bangladesh","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","16","Bangladesh","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","6","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","14","Barbade","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","14","S","Données standardisées"
"FBS","Bilans Alimentaires","14","Barbade","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBS","Bilans Alimentaires","14","Barbade","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","180","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","57","Bélarus","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","385","S","Données standardisées"
"FBS","Bilans Alimentaires","57","Bélarus","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","16","S","Données standardisées"
"FBS","Bilans Alimentaires","57","Bélarus","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","105","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","255","Belgique","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","389","S","Données standardisées"
"FBS","Bilans Alimentaires","255","Belgique","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","252","S","Données standardisées"
"FBS","Bilans Alimentaires","255","Belgique","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","43","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","23","Belize","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","16","S","Données standardisées"
"FBS","Bilans Alimentaires","23","Belize","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","23","Belize","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","121","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","53","Bénin","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","18","S","Données standardisées"
"FBS","Bilans Alimentaires","53","Bénin","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","185","S","Données standardisées"
"FBS","Bilans Alimentaires","53","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","2734","Viande de Volailles","2013","2013","Kcal/personne/jour","52","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","17","Bermudes","5511","Production","2734","Viande de Volailles","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires","17","Bermudes","5611","Importations - Quantité","2734","Viande de Volailles","2013","2013","Milliers de tonnes","4","S","Données standardisées"
