Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production - Annuels","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","1733.6","Fc","Donnée calculée"
"PP","Prix à la Production - Annuels","3","Albanie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","3605.6","","Donnée officielle"
"PP","Prix à la Production - Annuels","4","Algérie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","2376.7","Fc","Donnée calculée"
"PP","Prix à la Production - Annuels","79","Allemagne","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","1285.3","","Donnée officielle"
"PP","Prix à la Production - Annuels","194","Arabie saoudite","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","2668","Fc","Donnée calculée"
"PP","Prix à la Production - Annuels","9","Argentine","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","1061.2","","Donnée officielle"
"PP","Prix à la Production - Annuels","1","Arménie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","945.5","","Donnée officielle"
"PP","Prix à la Production - Annuels","10","Australie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","1257.9","","Donnée officielle"
"PP","Prix à la Production - Annuels","11","Autriche","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","1430","","Donnée officielle"
"PP","Prix à la Production - Annuels","52","Azerbaïdjan","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","2327.9","Fc","Donnée calculée"
"PP","Prix à la Production - Annuels","57","Bélarus","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","1314.4","","Donnée officielle"
"PP","Prix à la Production - Annuels","255","Belgique","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet","2013","2013","USD","1260.1","","Donnée officielle"
