"ISO3","ISO2","indice_risque","indice_affaire"
"AFG","AF","e","e"
"ZAF","ZA","b","a4"
"ALB","AL","c","c"
"DZA","DZ","c","c"
"DEU","DE","a1","a1"
"AGO","AO","d","d"
"SAU","SA","c","b"
"ARG","AR","c","b"
"ARM","AM","c","c"
"AUS","AU","a2","a1"
"AUT","AT","a1","a1"
"AZE","AZ","c","c"
"BGD","BD","c","c"
"BLR","BY","c","c"
"BEL","BE","a2","a1"
"BEN","BJ","b","c"
"BOL","BO","c","b"
"BIH","BA","c","b"
"BWA","BW","a4","a4"
"BRA","BR","b","a4"
"BGR","BG","a4","a3"
"BFA","BF","c","c"
"KHM","KH","c","c"
"CMR","CM","c","d"
"CAN","CA","a3","a1"
"CHL","CL","a3","a3"
"HKG","HK","b","b"
"MAC","MO","b","b"
"CHN","CN","b","b"
"TWN","TW","b","b"
"CYP","CY","a4","a3"
"COL","CO","a4","a4"
"COG","CG","c","d"
"CRI","CR","b","a4"
"CIV","CI","b","b"
"HRV","HR","a4","a3"
"CUB","CU","e","d"
"DNK","DK","a2","a1"
"DJI","DJ","c","d"
"DMA","DM","b","c"
"EGY","EG","b","c"
"SLV","SV","c","b"
"ARE","AE","a4","a2"
"ECU","EC","c","c"
"ESP","ES","a2","a1"
"EST","EE","a2","a1"
"USA","US","a2","a1"
"ETH","ET","c","d"
"RUS","RU","b","c"
"FIN","FI","a2","a1"
"FRA","FR","a2","a1"
"GAB","GA","c","c"
"GEO","GE","b","b"
"GHA","GH","b","b"
"GRC","GR","b","a4"
"GTM","GT","c","c"
"GIN","GN","c","d"
"GUY","GY","""d""","c"
"HTI","HT","d","e"
"HND","HN","c","c"
"HUN","HU","a3","a3"
"IND","IN","b","b"
"IDN","ID","a4","b"
"IRN","IR","e","d"
"IRQ","IQ","e","e"
"IRL","IE","a3","a1"
"ISL","IS","a2","a1"
"ISR","IL","a2","a2"
"ITA","IT","a4","a2"
"JAM","JM","b","a4"
"JPN","JP","a2","a1"
"JOR","JO","c","b"
"KAZ","KZ","b","b"
"KEN","KE","a4","b"
"KGZ","KG","d","d"
"KWT","KW","a3","a4"
"MKD","MK","b","b"
"LVA","LV","a3","a2"
"LBN","LB","c","c"
"LBR","LR","d","d"
"LTU","LT","a3","a2"
"LUX","LU","a1","a1"
"MDG","MG","d","d"
"MYS","MY","a3","a3"
"MWI","MW","d","d"
"MDV","MV","d","c"
"MLI","ML","d","d"
"MLT","MT","a2","a2"
"MAR","MA","a4","a4"
"MUS","MU","a4","a3"
"MRT","MR","d","d"
"MEX","MX","b","a4"
"MNG","MN","c","c"
"MNE","ME","c","b"
"MOZ","MZ","e","d"
"MMR","MM","d","e"
"NAM","NAM","b","a4"
"NPL","NP","d","c"
"NIC","NI","d","c"
"NER","NE","c","c"
"NGA","NG","c","d"
"NOR","NO","a1","a1"
"NZL","NZ","a2","a1"
"OMN","OM","b","a4"
"UGA","UG","c","c"
"UZB","UZ","c","c"
"PAK","PK","d","c"
"PAN","PA","a4","a4"
"PRY","PY","c","c"
"NLD","NL","a1","a1"
"PER","PE","a4","b"
"PHL","PH","a4","b"
"POL","PL","a3","a2"
"PRT","PT","a2","a2"
"CAF","CF","d","e"
"KOR","KR","a2","a1"
"MDA","MD","c","c"
"LAO","LA","d","d"
"DOM","DO","b","c"
"TZA","TZ","c","c"
"ROU","RO","a4","a3"
"GBR","GB","a3","a1"
"RWA","RW","b","b"
"STP","ST","c","d"
"SEN","SN","b","b"
"SRB","RS","b","b"
"SLE","SL","d","d"
"SVK","SK","a2","a2"
"SVN","SI","a3","a2"
"SDN","SD","e","e"
"LKA","LK","c","b"
"SWE","SE","a2","a1"
"CHE","CH","a1","a1"
"SUR","SR","d","d"
"TJK","TJ","d","d"
"TCD","TD","d","d"
"CZE","CZ","a2","a2"
"THA","TH","a4","a3"
"TLS","TL","e","c"
"TGO","TG","c","c"
"TTO","TT","c","b"
"TUN","TN","c","b"
"TKM","TM","d","d"
"TUR","TR","c","a4"
"UKR","UA","c","c"
"URY","UY","a4","a3"
"VEN","VE","e","e"
"VNM","VN","b","b"
"YEM","YE","e","e"
"ZMB","ZM","d","c"
"ZWE","ZW","e","e"
